X_axis          Y_axis          Z_axis          GR_bin          PR_Ref         
-137010.664458  53751.396215    3731.588169     8.334465        19.830000      
-137010.664458  53751.396215    3980.360714     8.324464        19.820000      
-137010.664458  53751.396215    4229.133259     8.304464        19.799999      
-137010.664458  53751.396215    4477.905803     8.294466        19.790001      
-137010.664458  53751.396215    4726.678348     7.264465        18.760000      
-137010.664458  53751.396215    4975.450892     7.224464        18.719999      
-137010.664458  53751.396215    5224.223437     -11.495535      0.000000       
-137010.664458  53751.396215    5472.995982     -11.495535      0.000000       
-137010.664458  53751.396215    5721.768526     -11.495535      0.000000       
-137010.664458  53751.396215    5970.541071     -11.495535      0.000000       
-127690.491530  66190.712321    3467.534485     -10.237969      0.000000       
-127690.491530  66190.712321    3715.215520     4.862031        15.100000      
-127690.491530  66190.712321    3962.896554     -10.237969      0.000000       
-127690.491530  66190.712321    4210.577589     -10.237969      0.000000       
-127690.491530  66190.712321    4458.258623     -10.237969      0.000000       
-127690.491530  66190.712321    4705.939658     -10.237969      0.000000       
-127690.491530  66190.712321    4953.620693     -10.237969      0.000000       
-127690.491530  66190.712321    5201.301727     -10.237969      0.000000       
-127690.491530  66190.712321    5448.982762     -10.237969      0.000000       
-127690.491530  66190.712321    5696.663797     -10.237969      0.000000       
-129543.337691  61516.109000    3473.161783     7.736417        17.320000      
-129543.337691  61516.109000    3721.244767     -9.583583       0.000000       
-129543.337691  61516.109000    3969.327752     -9.583583       0.000000       
-129543.337691  61516.109000    4217.410736     -9.583583       0.000000       
-129543.337691  61516.109000    4465.493720     -9.583583       0.000000       
-129543.337691  61516.109000    4713.576705     -9.583583       0.000000       
-129543.337691  61516.109000    4961.659689     -9.583583       0.000000       
-129543.337691  61516.109000    5209.742674     -9.583583       0.000000       
-129543.337691  61516.109000    5457.825658     -9.583583       0.000000       
-129543.337691  61516.109000    5705.908643     -9.583583       0.000000       
-133236.909147  52159.307343    3482.815625     3.326357        17.790001      
-133236.909147  52159.307343    3731.588169     4.396357        18.860001      
-133236.909147  52159.307343    3980.360714     7.656357        22.120001      
-133236.909147  52159.307343    4229.133259     4.346356        18.809999      
-133236.909147  52159.307343    4477.905803     3.226357        17.690001      
-133236.909147  52159.307343    4726.678348     6.866356        21.330000      
-133236.909147  52159.307343    4975.450892     5.216356        19.680000      
-133236.909147  52159.307343    5224.223437     5.196356        19.660000      
-133236.909147  52159.307343    5472.995982     6.016356        20.480000      
-133236.909147  52159.307343    5721.768526     3.086355        17.549999      
-122036.742628  69326.065126    3461.374728     10.580391       26.799999      
-122036.742628  69326.065126    3708.615780     10.980392       27.200001      
-122036.742628  69326.065126    3955.856832     14.070393       30.290001      
-122036.742628  69326.065126    4203.097884     8.850391        25.070000      
-122036.742628  69326.065126    4450.338936     7.680391        23.900000      
-122036.742628  69326.065126    4697.579987     7.650393        23.870001      
-122036.742628  69326.065126    4944.821039     4.110392        20.330000      
-122036.742628  69326.065126    5192.062091     0.930391        17.150000      
-122036.742628  69326.065126    5439.303143     -16.219608      0.000000       
-122036.742628  69326.065126    5686.544195     2.160391        18.379999      
-123926.285349  64576.038226    3467.534485     24.155134       31.809999      
-123926.285349  64576.038226    3715.215520     23.665134       31.320000      
-123926.285349  64576.038226    3962.896554     24.035135       31.690001      
-123926.285349  64576.038226    4210.577589     23.565134       31.219999      
-123926.285349  64576.038226    4458.258623     23.935135       31.590000      
-123926.285349  64576.038226    4705.939658     24.275135       31.930000      
-123926.285349  64576.038226    4953.620693     25.445133       33.099998      
-123926.285349  64576.038226    5201.301727     25.375133       33.029999      
-123926.285349  64576.038226    5448.982762     23.675135       31.330000      
-123926.285349  64576.038226    5696.663797     17.485134       25.139999      
-125771.655862  59915.809287    3473.161783     7.073409        34.520000      
-125771.655862  59915.809287    3721.244767     9.283408        36.730000      
-125771.655862  59915.809287    3969.327752     9.443408        36.889999      
-125771.655862  59915.809287    4217.410736     7.293410        34.740002      
-125771.655862  59915.809287    4465.493720     9.063407        36.509998      
-125771.655862  59915.809287    4713.576705     6.923407        34.369999      
-125771.655862  59915.809287    4961.659689     7.203410        34.650002      
-125771.655862  59915.809287    5209.742674     4.693408        32.139999      
-125771.655862  59915.809287    5457.825658     2.953408        30.400000      
-118261.925052  67751.089609    3214.133676     19.874782       24.510000      
-118261.925052  67751.089609    3461.374728     19.254781       23.889999      
-118261.925052  67751.089609    3708.615780     16.394783       21.030001      
-118261.925052  67751.089609    3955.856832     14.554782       19.190001      
-118261.925052  67751.089609    4203.097884     15.514782       20.150000      
-118261.925052  67751.089609    4450.338936     13.404783       18.040001      
-118261.925052  67751.089609    4697.579987     -4.635218       0.000000       
-118261.925052  67751.089609    4944.821039     12.004781       16.639999      
-118261.925052  67751.089609    5192.062091     14.454782       19.090000      
-118261.925052  67751.089609    5439.303143     -4.635218       0.000000       
-120152.261680  62997.973628    3219.853450     29.178315       35.900002      
-120152.261680  62997.973628    3467.534485     29.428315       36.150002      
-120152.261680  62997.973628    3715.215520     29.278313       36.000000      
-120152.261680  62997.973628    3962.896554     30.648312       37.369999      
-120152.261680  62997.973628    4210.577589     30.848313       37.570000      
-120152.261680  62997.973628    4458.258623     29.938313       36.660000      
-120152.261680  62997.973628    4705.939658     28.248314       34.970001      
